code,name,budget,link,committee,chair
c1,Department of Licensing and Consumer Protection,37844000,,Committee of the Whole,Phil Mendelson
c2,Department of Buildings,64376000,,Committee of the Whole,Phil Mendelson
c3,District of Columbia Public Charter School Board,12100000,,Committee of the Whole,Phil Mendelson
c4,District of Columbia Public Schools,1162122000,,Committee of the Whole,Phil Mendelson
c5,Office of Budget and Planning,6657000,,Committee of the Whole,Phil Mendelson
c6,Office of Planning,15577000,,Committee of the Whole,Phil Mendelson
c7,Office of the Deputy Mayor for Education,49728000,,Committee of the Whole,Phil Mendelson
c8,Office of the State Superintendent of Education,1061502000,,Committee of the Whole,Phil Mendelson
c9,Tax Revision Commission,0,,Committee of the Whole,Phil Mendelson
c10,University of the District of Columbia,195084000,,Committee of the Whole,Phil Mendelson
c11,Washington Metropolitan Area Transit Authority,481169000,,Committee of the Whole,Phil Mendelson
c12,Zoning Commission/Office of Zoning,4142000,,Committee of the Whole,Phil Mendelson
c13,Alcoholic Beverage Regulation Administration,10879724,,Business and Economic Development,Kenyan McDuffie
c14,Department of For-Hire Vehicles,22683000,,Business and Economic Development,Kenyan McDuffie
c15,"Department of Insurance, Securities and Banking",37098000,,Business and Economic Development,Kenyan McDuffie
c16,Department of Small and Local Business Development,21439000,,Business and Economic Development,Kenyan McDuffie
c17,Deputy Mayor for Planning and Economic Development,108674000,,Business and Economic Development,Kenyan McDuffie
c18,District of Columbia Lottery and Charitable Games,360000000,,Business and Economic Development,Kenyan McDuffie
c19,Office of Nightlife and Culture,0,,Business and Economic Development,Kenyan McDuffie
c20,Office of the Chief Financial Officer (not including the Office of Budget and Planning),231305000,,Business and Economic Development,Kenyan McDuffie
c21,Washington Convention and Sports Authority/Events DC,0,,Business and Economic Development,Kenyan McDuffie
c22,Advisory Neighborhood Commissions,2575153,,Government Operations and Facilities,Kenyan McDuffie
c23,Department of General Services,385326000,,Government Operations and Facilities,Kenyan McDuffie
c24,Office of Community Affairs (inclusive of offices under it),837552,,Government Operations and Facilities,Kenyan McDuffie
c25,Office of Contracting and Procurement,31432381,,Government Operations and Facilities,Kenyan McDuffie
c26,Office of Human Rights,9224237,,Government Operations and Facilities,Kenyan McDuffie
c27,Office of Risk Management,4092910,,Government Operations and Facilities,Kenyan McDuffie
c28,Office of the Chief Technology Officer,91023000,,Government Operations and Facilities,Kenyan McDuffie
c29,Office on Returning Citizen Affairs,2751096,,Government Operations and Facilities,Kenyan McDuffie
c30,Department of Behavioral Health,356384637,,Health,Vince Gray
c31,Department of Health,253802271,,Health,Vince Gray
c32,Department of Health Care Finance,3709130390,,Health,Vince Gray
c33,Deputy Mayor for Health and Human Services,2861218,,Health,Vince Gray
c34,Department of Aging and Community Living,66609910,,Housing and Executive Administration,Anita Bonds
c35,Department of Housing and Community Development,99592720,,Housing and Executive Administration,Anita Bonds
c36,District of Columbia Housing Authority,184335591,,Housing and Executive Administration,Anita Bonds
c37,Executive Office of the Mayor,8403129,,Housing and Executive Administration,Anita Bonds
c38,Housing Finance Agency,0,,Housing and Executive Administration,Anita Bonds
c39,Office of the City Administrator,12211189,,Housing and Executive Administration,Anita Bonds
c40,Office of the Tenant Advocate,4421256,,Housing and Executive Administration,Anita Bonds
c41,Board of Ethics and Government Accountability,3977407,,Human Services,Brianne Nadeau
c42,Child and Family Services Agency,222082224,,Human Services,Brianne Nadeau
c43,Department of Human Services,851484947,,Human Services,Brianne Nadeau
c44,Department on Disability Services,197975632,,Human Services,Brianne Nadeau
c45,Department of Corrections,200116000,,Judiciary and Public Safety,Charles Allen
c46,Deputy Mayor for Public Safety and Justice,2989000,,Judiciary and Public Safety,Charles Allen
c47,District of Columbia Board of Elections,11869756,,Judiciary and Public Safety,Charles Allen
c48,Fire and Emergency Medical Services Department,316397000,,Judiciary and Public Safety,Charles Allen
c49,Homeland Security and Emergency Management Agency,190048784,,Judiciary and Public Safety,Charles Allen
c50,Metropolitan Police Department,525952233,,Judiciary and Public Safety,Charles Allen
c51,Office of Campaign Finance,15400000,,Judiciary and Public Safety,Charles Allen
c52,Office of the Attorney General for the District of Columbia,147830658,,Judiciary and Public Safety,Charles Allen
c53,Office of Neighborhood Safety and Engagement,34007928,,Judiciary and Public Safety,Charles Allen
c54,Office of Unified Communications,61125000,,Judiciary and Public Safety,Charles Allen
c55,Department of Employment Services,236390000,,Labor and Workforce Development,VACANT
c56,Department of Human Resources,22149000,,Labor and Workforce Development,VACANT
c57,Department of Parks and Recreation,84087144,,"Recreation, Libraries and Youth Affairs",Trayon White
c58,Department of Youth Rehabilitation Services,89585847,,"Recreation, Libraries and Youth Affairs",Trayon White
c59,District of Columbia Public Library System,77025000,,"Recreation, Libraries and Youth Affairs",Trayon White
c60,"Office of Cable Television, Film, Music and Entertainment",15697188,,"Recreation, Libraries and Youth Affairs",Trayon White
c61,Department of Energy and Environment,220681000,,Transportation and the Environment,VACANT
c62,Department of Motor Vehicles,55000000,,Transportation and the Environment,VACANT
c63,Department of Public Works,188618856,,Transportation and the Environment,VACANT
c64,Deputy Mayor for Operations and Infrastructure,1282808,,Transportation and the Environment,VACANT
c65,District Department of Transportation,192205336,,Transportation and the Environment,VACANT
c66,DC Water,686403000,,Transportation and the Environment,VACANT
